feature,pearson_corr_with_target,abs_corr,feature_group
comp_730d_weighted_mean_price,0.8197606056050863,0.8197606056050863,comparable_sales
comp_730d_mean_price,0.8123627030169726,0.8123627030169726,comparable_sales
comp_365d_weighted_mean_price,0.8123279606078356,0.8123279606078356,comparable_sales
comp_365d_mean_price,0.8050616801905642,0.8050616801905642,comparable_sales
comp_730d_median_price,0.8014996457093122,0.8014996457093122,comparable_sales
comp_365d_median_price,0.7941090822131077,0.7941090822131077,comparable_sales
comp_730d_nearest_price,0.7371595621356444,0.7371595621356444,comparable_sales
comp_365d_nearest_price,0.7259351604854962,0.7259351604854962,comparable_sales
district_type_median_price_180d,0.7059847218749653,0.7059847218749653,time_aware_market
district_type_median_price_365d,0.7040446293603974,0.7040446293603974,time_aware_market
district_median_price_180d,0.6243207785818212,0.6243207785818212,time_aware_market
district_median_price_365d,0.6217772627693954,0.6217772627693954,time_aware_market
comp_365d_std_price,0.43945293170511646,0.43945293170511646,comparable_sales
comp_730d_std_price,0.4372101678889563,0.4372101678889563,comparable_sales
total_floor,0.3364038260578191,0.3364038260578191,basic_housing
has_elevator,0.332693050275989,0.332693050275989,basic_housing
building_age,-0.28886364110390084,0.28886364110390084,basic_housing
trade_year,0.2523162945073077,0.2523162945073077,location_time
has_management,0.24508228897201,0.24508228897201,basic_housing
floor,0.23420566300597515,0.23420566300597515,basic_housing
parking_area_m2,0.2158964734315545,0.2158964734315545,basic_housing
rooms,-0.19338134717088534,0.19338134717088534,basic_housing
comp_365d_median_days_diff,0.16984606142378283,0.16984606142378283,comparable_sales
comp_730d_median_days_diff,0.16303693647953738,0.16303693647953738,comparable_sales
land_area_m2,-0.15649590004519573,0.15649590004519573,basic_housing
living_rooms,-0.1420468858532779,0.1420468858532779,basic_housing
has_parking,0.13902353104221524,0.13902353104221524,basic_housing
building_area_m2,0.12833625326382034,0.12833625326382034,basic_housing
building_area_ping,0.1283362532638186,0.1283362532638186,basic_housing
comp_365d_median_distance,0.12726310865910168,0.12726310865910168,comparable_sales
floor_ratio,-0.10763728914400349,0.10763728914400349,basic_housing
comp_730d_median_distance,0.0986631972240327,0.0986631972240327,comparable_sales
comp_365d_nearest_distance,0.08362165553679554,0.08362165553679554,comparable_sales
physical_condition_flag,-0.08286778678598399,0.08286778678598399,note_flags
district_price_change_180_365,0.08238354817321433,0.08238354817321433,time_aware_market
district_count_180d,-0.07110204413536036,0.07110204413536036,time_aware_market
bathrooms,-0.06892798449059723,0.06892798449059723,basic_housing
comp_730d_nearest_distance,0.06479281367142531,0.06479281367142531,comparable_sales
district_type_price_change_180_365,0.053761781383985414,0.053761781383985414,time_aware_market
comp_365d_median_area_diff_pct,0.050477284470599015,0.050477284470599015,comparable_sales
main_use_missing,0.04114592648827613,0.04114592648827613,basic_housing
renovation_flag,0.039926645039947334,0.039926645039947334,note_flags
comp_730d_median_area_diff_pct,0.030872401391255674,0.030872401391255674,comparable_sales
multi_floor,-0.02672702541350279,0.02672702541350279,basic_housing
balcony_area_m2,-0.026507017983568554,0.026507017983568554,basic_housing
auxiliary_area_m2,0.025551880632107893,0.025551880632107893,basic_housing
is_basement,-0.01807177586478445,0.01807177586478445,basic_housing
comp_365d_median_age_diff,0.016534972311853073,0.016534972311853073,comparable_sales
district_type_count_180d,0.016338289688114405,0.016338289688114405,time_aware_market
comp_730d_median_age_diff,0.009530195881354462,0.009530195881354462,comparable_sales
building_age_missing,0.008282475914063454,0.008282475914063454,basic_housing
comp_365d_count,-0.004135228350835051,0.004135228350835051,comparable_sales
broad_note_flag,-0.002918514421656541,0.002918514421656541,note_flags
comp_730d_count,-0.0009414296446065378,0.0009414296446065378,comparable_sales
main_building_area_m2,-0.0005635952285267355,0.0005635952285267355,basic_housing
main_building_area_ping,-0.0005635952285231959,0.0005635952285231959,basic_housing
