feature,feature_group,mean_gain_importance,std_gain_importance,mean_split_importance,std_split_importance,gain_share,split_share,rank_gain,rank_split
comp_730d_weighted_mean_price,rule_based_comparable,142129127.00575003,29329398.254196297,866.9333333333333,90.23419265339228,0.45159580173727193,0.01398279569892473,1,37
comp_730d_mean_price,rule_based_comparable,27633339.327541098,20231809.14462682,599.8666666666667,27.44570397469643,0.08780114457323128,0.009675268817204302,3,56
comp_365d_weighted_mean_price,rule_based_comparable,11979846.773198955,6454887.55549457,518.6,19.881074992493318,0.038064319553680094,0.008364516129032258,5,62
comp_730d_nearest_price,rule_based_comparable,2167095.367591858,326915.98764424364,1009.8666666666667,41.40887873506398,0.0068856482171256875,0.01628817204301075,9,14
comp_730d_median_price,rule_based_comparable,1786707.1667617797,781390.2780155521,672.9333333333333,45.88878896180368,0.0056770168961276495,0.010853763440860214,13,49
comp_730d_std_price,rule_based_comparable,1559084.0331598918,134470.64407887156,1315.6666666666667,60.316624889786695,0.004953775617732011,0.02122043010752688,15,6
comp_730d_median_age_diff,rule_based_comparable,1413819.1268290202,60556.97478975158,1166.0,38.878932965957645,0.004492216307400599,0.018806451612903227,21,8
comp_365d_std_price,rule_based_comparable,1291761.8671147665,66301.43221403303,1142.4,71.1886828887048,0.004104396110233815,0.018425806451612906,23,9
comp_365d_median_age_diff,rule_based_comparable,1173155.0071690877,52107.00380385368,1043.8666666666666,31.80041928444758,0.0037275390849560745,0.016836559139784945,28,13
comp_365d_nearest_price,rule_based_comparable,1110907.732445272,87144.93326058723,958.2,42.52931761905963,0.0035297569095000575,0.01545483870967742,31,22
comp_730d_nearest_distance,rule_based_comparable,911942.9722305298,58344.56157148388,824.5333333333333,28.809390003624713,0.002897573680773088,0.013298924731182795,37,40
comp_730d_median_area_diff_pct,rule_based_comparable,901782.241686503,70922.87382125364,940.2,65.34654871201252,0.002865289353465002,0.015164516129032258,40,26
comp_730d_median_days_diff,rule_based_comparable,825890.8348154704,87519.43456751967,908.1333333333333,43.6264445797118,0.0026241548200100335,0.014647311827956989,46,29
comp_365d_nearest_distance,rule_based_comparable,824527.1685206095,53720.289312234214,812.4,33.774039057917165,0.002619821957445523,0.013103225806451612,47,41
comp_365d_median_days_diff,rule_based_comparable,814515.5158620198,111403.48506000264,895.4,56.5670272458132,0.002588011304665759,0.014441935483870967,48,31
comp_365d_median_distance,rule_based_comparable,783012.8824452718,53551.84224861273,706.7333333333333,43.2640838615699,0.0024879160089696407,0.011398924731182796,52,46
comp_730d_median_distance,rule_based_comparable,764003.082782491,58133.09717607534,702.8,29.032494110663542,0.002427514978579641,0.011335483870967741,53,47
comp_365d_median_area_diff_pct,rule_based_comparable,753516.1223027547,36244.27014073242,848.2666666666667,61.91522622178846,0.0023941941004077655,0.013681720430107527,56,38
comp_365d_median_price,rule_based_comparable,720886.2971537273,45830.07399625688,655.7333333333333,52.192592066946325,0.0022905173076267485,0.010576344086021506,57,51
comp_365d_mean_price,rule_based_comparable,706097.6291788737,309628.212895837,505.53333333333336,30.352374975719236,0.0022435283440594136,0.008153763440860216,58,64
comp_365d_count,rule_based_comparable,0.0,0.0,0.0,0.0,0.0,0.0,86,86
comp_730d_count,rule_based_comparable,0.0,0.0,0.0,0.0,0.0,0.0,87,86
